"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocks Gr.",""
"2",2011,"","Adderly Str.",""
"3",2011,"","Alcester Raod Mosley",""
"4",2011,"","Alcester Rd.",""
"5",2011,"","Alcester Rd. Moseley",""
"6",2011,"","Alcester Rd. Moseley",""
"7",2011,"","Alfred Str.",""
"8",2011,"","All Service Club Mosley",""
"9",2011,"","Alum Rock Rd.",""
"10",2011,"","Alum Rock Rd.",""
"11",2011,"","Alum Rock Rd.",""
"12",2011,"","Alum Rock Rd.",""
"13",2011,"","Arcadian Centre",""
"14",2011,"","Arden Rd. Saltley",""
"15",2011,"","Asda Chemsley Wood",""
"16",2011,"","Balsahll Heath Pk. J W Brighton Rd.",""
"17",2011,"","Bamford Rd.",""
"18",2011,"","Bamford Rd.",""
"19",2011,"","BeechBrook Ave. Sparkhill",""
"20",2011,"","Belchers Lan.",""
"21",2011,"","Belchers Lan.",""
"22",2011,"","Belchers Lan.",""
"23",2011,"","Belchers Lan. Bordesley Gr.",""
"24",2011,"","Bell Str.",""
"25",2011,"","Berkley Rd East Haymills",""
"26",2011,"","Birmingham Airport",""
"27",2011,"","Birmingham International Railway Station",""
"28",2011,"","Bordesley Gr.",""
"29",2011,"","Bordesley Gr. Bordesley Gr.",""
"30",2011,"","Bristol Rd.",""
"31",2011,"","Bristol Str.",""
"32",2011,"","Broad Str.",""
"33",2011,"","Broad Str.",""
"34",2011,"","Broad Str. Birmingham",""
"35",2011,"","Buckland End Lan. Shard End",""
"36",2011,"","Bulls Head PH St Marys Row",""
"37",2011,"","Bushbury Rd. Kitts Gr.",""
"38",2011,"","Chartice Rd.",""
"39",2011,"","Chestnut Rd.",""
"40",2011,"","Church Rd Stechford",""
"41",2011,"","Church Rd. Sheldon",""
"42",2011,"","Clifford RD Dorridge",""
"43",2011,"","Clock Lan.",""
"44",2011,"","Colonial Rd. Bordesley Gr.",""
"45",2011,"","Corporation St Birmingham",""
"46",2011,"","Corporation Str.",""
"47",2011,"","Coventry Rd Small Heath",""
"48",2011,"","COVENTRY RD SMALL HEATH BHAM",""
"49",2011,"","Coventry Rd.",""
"50",2011,"","Coventry Rd.",""
"51",2011,"","Coventry Rd.",""
"52",2011,"","Coventry Rd.",""
"53",2011,"","Coventry Rd.",""
"54",2011,"","Coventry Rd. Small Heath",""
"55",2011,"","Coventry Rd. Small Heath",""
"56",2011,"","Coventry Rd. Small Heath",""
"57",2011,"","Cranes Pk. Rd.",""
"58",2011,"","Cranes Pk. Rd. Sheldon",""
"59",2011,"","Crossfield Rd.",""
"60",2011,"","Crossfields Rd. Kitts Gr.",""
"61",2011,"","Cxhurch Rd Stechford Bham",""
"62",2011,"","Digbeth High Str.",""
"63",2011,"","Edgbaston Rd.",""
"64",2011,"","Edward Rd. Moseley",""
"65",2011,"","Fighting Cox PH",""
"66",2011,"","Foremans Rd. Sparkhill",""
"67",2011,"","Front Office Kings Heath",""
"68",2011,"","Garretts Gr. Rd. Garretts Gr.",""
"69",2011,"","Giles Close",""
"70",2011,"","GILES CLOSE STECHFORD",""
"71",2011,"","Glazedale Rd.",""
"72",2011,"","Gospel Farm Rd.",""
"73",2011,"","Gospel Farm Rd.",""
"74",2011,"","Gospel Lan.",""
"75",2011,"","Gospel Lan.",""
"76",2011,"","Gospel Lan.",""
"77",2011,"","Gospel Lan. Acocks Gr.",""
"78",2011,"","Grace Church Sutton Coldfield",""
"79",2011,"","Great Hampton Str.",""
"80",2011,"","Gr. Lan.",""
"81",2011,"","Greswell Lan. Shard End",""
"82",2011,"","Harlequin Dr. Mosley",""
"83",2011,"","Haslucks Gr. Rd.",""
